OBJECTID,fieldname,platformtypename,tracknumber,uniqueidentifier,symbolcode,alertcode,speed,notes,altitude_m,estpoints,created_user,created_date,last_edited_user,last_edited_date,class,DateTimeSim,Distance_1_sec,BEARING,X,Y,POINT_Z,PlatformName,Speed_km_hr
11,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:46,15833.33333,232.4715593,115.0909677,15.17968282,0,"u""""Eagle2""""",57000
12,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:46,12500,90,118.9060408,23.10820044,0,"u""""UNKNOWN1""""",45000
13,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:46,14583.33333,120.5330619,109.6549328,17.75594266,0,"u""""Flanker-1""""",52500
14,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:46,1388.888889,259.1148176,113.5567371,20.18696431,0,"u""""SeaSerpent2""""",5000
15,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:46,14583.33333,131.1859251,109.427241,17.99237117,0,"u""""FLANKER-2""""",52500
16,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:46,972.2222222,348.0332138,110.3873518,17.34189582,0,"u""""Shang1""""",3500
17,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:46,1111.111111,243.4349488,111.4534074,5.793148456,0,"u""""Serpent2""""",4000
18,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:46,9722.222222,139.3987053,113.6966634,8.902170913,0,"u""""UNK1""""",35000
19,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:46,1250,254.7295427,109.3091685,8.035766692,0,"u""""DDG114RJ""""",4500
20,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:46,1805.555556,245.9892163,112.7904022,10.73064966,0,"u""""SeaSquid""""",6500
21,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:46,1250,206.2490458,111.9347211,5.925822981,0,"u""""Xianning""""",4500
22,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:46,13888.88889,103.7459672,119.4122605,26.03790471,0,"u""""Red Orchid""""",50000
23,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:46,11805.55556,259.0107756,114.7508411,16.71790886,0,"u""""JUMPY26""""",42500
24,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:46,1111.111111,220.1294978,132.0447213,30.56269482,0,"u""""Bengal1""""",4000
25,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:46,14583.33333,121.3248501,109.6199633,18.21181401,0,"u""""FLANKER-3""""",52500
26,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:46,13888.88889,105.7787387,107.5158562,10.63785461,0,"u""""Albatross1""""",50000
27,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:46,14583.33333,131.1859251,109.5271803,17.91188684,0,"u""""FLANKER-2""""",52500
28,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:46,14583.33333,121.3248501,109.7318715,18.1471059,0,"u""""FLANKER-3""""",52500
29,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:46,13888.88889,85.53284022,112.6252005,19.46018407,0,"u""""RedDragon3""""",50000
30,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:46,12500,143.1301024,119.0071352,23.06799088,0,"u""""UNKNOWN1""""",45000
31,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:46,9722.222222,139.3987053,113.7535011,8.836653245,0,"u""""UNK1""""",35000
32,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:46,1388.888889,37.44365485,111.4769858,17.66145922,0,"u""""RedDragon2""""",5000
33,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:46,972.2222222,212.9526607,122.544037,26.78184095,0,"u""""RedTiger""""",3500
34,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:46,972.2222222,348.0332138,110.3855409,17.35005108,0,"u""""Shang1""""",3500
35,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:46,11805.55556,259.0107758,114.6467346,16.69854642,0,"u""""JUMPY26""""",42500
36,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:46,972.2222222,249.2277432,112.074578,6.064615412,0,"u""""Serpent1""""",3500
37,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:46,1805.555556,245.9892163,112.7755861,10.72416511,0,"u""""SeaSquid""""",6500
38,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:46,1111.111111,220.1294978,132.0382882,30.55612324,0,"u""""Bengal1""""",4000
39,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:46,11111.11111,252.181111,120.7373473,14.43876168,0,"u""""Dragon1""""",40000
40,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:46,13888.88889,116.229679,119.5259008,25.99180583,0,"u""""Red Orchid""""",50000
41,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:46,1388.888889,216.8698968,124.1475583,23.99925328,0,"u""""IzumoDDH183""""",5000
42,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:46,16666.66667,221.4964684,125.8779491,28.77917281,0,"u""""Eagle1""""",60000
43,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:46,1388.888889,259.1148176,113.544485,20.18475292,0,"u""""SeaSerpent2""""",5000
44,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:46,1111.111111,243.4349465,111.4444799,5.788707472,0,"u""""Serpent2""""",4000
45,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:46,14583.33333,120.5330619,109.7677716,17.692547,0,"u""""Flanker-1""""",52500
46,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:46,13888.88889,307.9590316,118.5170941,21.78983055,0,"u""""Utter51""""",50000
47,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:46,972.2222222,263.4474451,115.6774126,20.71980599,0,"u""""REAGANTF""""",3500
48,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:46,1250,206.2490458,111.9297548,5.915805692,0,"u""""Xianning""""",4500
49,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:46,1250,254.7295427,109.298336,8.032838291,0,"u""""DDG114RJ""""",4500
50,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:46,15833.33333,232.4715593,114.9781695,15.09604716,0,"u""""Eagle2""""",57000
51,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:46,1388.888889,216.8699054,124.1400724,23.99013456,0,"u""""IzumoDDH183""""",5000
52,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:46,14583.33333,120.5330621,109.8806103,17.62912896,0,"u""""Flanker-1""""",52500
53,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:46,972.2222222,348.0332068,110.3837301,17.35820599,0,"u""""Shang1""""",3500
54,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:46,11805.55556,259.0107752,114.5426282,16.67918202,0,"u""""JUMPY26""""",42500
55,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:46,1805.555556,245.9892176,112.7607701,10.71768042,0,"u""""SeaSquid""""",6500
56,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:46,13888.88889,307.9590315,118.4187223,21.86107295,0,"u""""Utter51""""",50000
57,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:46,9722.222222,116.5650517,113.8103387,8.771123928,0,"u""""UNK1""""",35000
58,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:46,1111.111111,220.1294978,132.0318551,30.54955122,0,"u""""Bengal1""""",4000
59,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:46,972.2222222,249.2277432,112.0664121,6.061535323,0,"u""""Serpent1""""",3500
60,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:46,14583.33333,126.8698974,109.6319838,17.83707831,0,"u""""FLANKER-2""""",52500
61,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:46,14583.33333,121.3248501,109.8437798,18.08237382,0,"u""""FLANKER-3""""",52500
62,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:46,11111.11111,264.8055709,120.6423227,14.40918081,0,"u""""Dragon1""""",40000
63,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:46,16666.66667,221.4964681,125.7787491,28.6808386,0,"u""""Eagle1""""",60000
64,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:46,13888.88889,116.229679,119.6367201,25.94027175,0,"u""""Red Orchid""""",50000
65,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:46,13888.88889,105.7787384,107.6359209,10.6045091,0,"u""""Albatross1""""",50000
66,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:46,1111.111111,243.4349465,111.4355524,5.784266452,0,"u""""Serpent2""""",4000
67,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:46,1388.888889,259.1148135,113.5322329,20.18254151,0,"u""""SeaSerpent2""""",5000
68,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:46,12500,116.5650514,119.087263,22.99705788,0,"u""""UNKNOWN1""""",45000
69,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:46,1250,206.2490458,111.9247886,5.905788222,0,"u""""Xianning""""",4500
70,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:46,13888.88889,85.53284022,112.7495875,19.4693464,0,"u""""RedDragon3""""",50000
71,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:46,972.2222222,263.4474451,115.668736,20.71887381,0,"u""""REAGANTF""""",3500
72,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:46,1250,254.7295471,109.2875035,8.029909869,0,"u""""DDG114RJ""""",4500
73,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:46,1388.888889,37.44365736,111.4845714,17.67089789,0,"u""""RedDragon2""""",5000
74,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:46,972.2222222,212.9526557,122.5392863,26.77529835,0,"u""""RedTiger""""",3500
75,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:46,15833.33333,232.4715592,114.8653713,15.01237856,0,"u""""Eagle2""""",57000
76,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:46,11111.11111,264.8055709,120.5439585,14.39548629,0,"u""""Dragon1""""",40000
77,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:46,1388.888889,37.44365736,111.4921569,17.68033606,0,"u""""RedDragon2""""",5000
78,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:46,1111.111111,220.1294978,132.025422,30.54297876,0,"u""""Bengal1""""",4000
79,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:46,13888.88889,307.9590315,118.3203504,21.93227983,0,"u""""Utter51""""",50000
80,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:46,1250,206.2490458,111.9198223,5.895770569,0,"u""""Xianning""""",4500
81,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:46,14583.33333,131.1235026,109.7267809,17.75196246,0,"u""""FLANKER-2""""",52500
82,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:46,972.2222222,212.9526607,122.5345357,26.76875537,0,"u""""RedTiger""""",3500
83,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:46,9722.222222,116.5650517,113.8782565,8.719610383,0,"u""""UNK1""""",35000
84,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:46,16666.66667,226.0714063,125.6795491,28.58241197,0,"u""""Eagle1""""",60000
85,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:46,15833.33333,232.471559,114.752573,14.92867719,0,"u""""Eagle2""""",57000
86,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:46,1388.888889,216.8698925,124.1325864,23.98101518,0,"u""""IzumoDDH183""""",5000
87,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:46,1388.888889,259.1148176,113.5199808,20.18033006,0,"u""""SeaSerpent2""""",5000
88,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:46,13888.88889,116.229679,119.7486835,25.89076238,0,"u""""Red Orchid""""",50000
89,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:46,1111.111111,243.4349534,111.4266248,5.779825398,0,"u""""Serpent2""""",4000
90,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:46,972.2222222,249.2277453,112.0582462,6.058455216,0,"u""""Serpent1""""",3500
91,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:46,1250,254.7295427,109.276671,8.026981425,0,"u""""DDG114RJ""""",4500
92,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:46,972.2222222,348.0332035,110.3819192,17.36636052,0,"u""""Shang1""""",3500
93,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:46,13888.88889,85.53284062,112.8739745,19.47850821,0,"u""""RedDragon3""""",50000
94,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:46,1805.555556,245.9892163,112.745954,10.7111956,0,"u""""SeaSquid""""",6500
95,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:46,13888.88889,105.7787384,107.7559856,10.57115996,0,"u""""Albatross1""""",50000
96,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:46,972.2222222,263.4474458,115.6600595,20.71794163,0,"u""""REAGANTF""""",3500
97,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:46,12500,151.9797347,119.1510705,22.91208809,0,"u""""UNKNOWN1""""",45000
98,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:46,14583.33333,121.3248501,109.955688,18.01761786,0,"u""""FLANKER-3""""",52500
99,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:46,14583.33333,120.5330621,109.993449,17.5656886,0,"u""""Flanker-1""""",52500
100,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:46,11805.55556,259.0107758,114.4385217,16.65981566,0,"u""""JUMPY26""""",42500
101,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:46,1805.555556,245.989215,112.7311379,10.70471064,0,"u""""SeaSquid""""",6500
102,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:46,13888.88889,121.1849744,119.8607942,25.8414959,0,"u""""Red Orchid""""",50000
103,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:46,972.2222222,348.0332068,110.3801083,17.3745147,0,"u""""Shang1""""",3500
104,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:46,13888.88889,105.7787384,107.8760503,10.53780719,0,"u""""Albatross1""""",50000
105,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:46,1250,254.7295427,109.2658385,8.024052961,0,"u""""DDG114RJ""""",4500
106,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:46,1111.111111,243.4349488,111.4176973,5.775384309,0,"u""""Serpent2""""",4000
107,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:46,1250,206.2490479,111.914856,5.885752737,0,"u""""Xianning""""",4500
108,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:46,1388.888889,37.44365408,111.4997424,17.68977374,0,"u""""RedDragon2""""",5000
109,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:46,11805.55556,259.0107757,114.3344153,16.64044735,0,"u""""JUMPY26""""",42500
110,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:46,1388.888889,259.1148168,113.5077287,20.17811858,0,"u""""SeaSerpent2""""",5000
111,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:46,11111.11111,266.781804,120.4445556,14.38673322,0,"u""""Dragon1""""",40000
112,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:46,1388.888889,216.8699003,124.1251005,23.97189516,0,"u""""IzumoDDH183""""",5000
113,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:46,972.2222222,249.2277432,112.0500803,6.055375091,0,"u""""Serpent1""""",3500
114,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:46,1111.111111,220.1294984,132.0189889,30.53640585,0,"u""""Bengal1""""",4000
115,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:46,972.2222222,263.4474445,115.6513829,20.71700944,0,"u""""REAGANTF""""",3500
116,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:46,972.2222222,212.9526557,122.5297851,26.76221201,0,"u""""RedTiger""""",3500
117,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:46,14583.33333,138.1316652,110.1062878,17.502226,0,"u""""Flanker-1""""",52500
118,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:46,13888.88889,85.53284114,112.9983615,19.48766951,0,"u""""RedDragon3""""",50000
119,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:46,14583.33333,131.1235026,109.8130479,17.65804144,0,"u""""FLANKER-2""""",52500
120,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:46,13888.88889,307.9590315,118.2219786,22.00345109,0,"u""""Utter51""""",50000
121,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:46,15833.33333,232.4715592,114.6397748,14.8449432,0,"u""""Eagle2""""",57000
