OBJECTID,DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,SymbologyCode,EstimatedPoints,BEARING,POINT_X,POINT_Y,POINT_Z,DateTimeSim,COUNTSim,ORIG_FID
31,,1,250,69.44444444, ,,355.8737414,347.7998478,151.1759272,-33.94504351,100,2024-07-06 14:39:30,32,31
32,,1,250,69.44444444, ,,355.8737414,347.7998478,151.1757954,-33.94453769,100,2024-07-06 14:39:31,33,32
33,,1,250,69.44444444, ,,355.8737414,347.7996497,151.1756635,-33.94403186,100,2024-07-06 14:39:32,34,33
34,,1,250,69.44444444, ,,355.8737414,347.7996497,151.1752022,-33.94374445,100,2024-07-06 14:39:33,35,34
35,,1,250,69.44444444, ,,355.8737414,294.9438774,151.1746366,-33.94352619,100,2024-07-06 14:39:34,36,35
36,,1,250,69.44444444, ,,355.8737414,294.9439174,151.1740709,-33.94330794,100,2024-07-06 14:39:35,37,36
37,,1,250,69.44444444, ,,355.8737414,294.9438774,151.1735053,-33.94308968,100,2024-07-06 14:39:36,38,37
38,,1,250,69.44444444, ,,355.8737414,294.943907,151.1729396,-33.94287142,100,2024-07-06 14:39:37,39,38
39,,1,250,69.44444444, ,,355.8737414,294.9446888,151.172374,-33.94265317,100,2024-07-06 14:39:38,40,39
40,,1,250,69.44444444, ,,355.8737414,294.9435908,151.1718084,-33.94243491,100,2024-07-06 14:39:39,41,40
41,,1,250,69.44444444, ,,355.8737414,294.942854,151.1712427,-33.94221665,100,2024-07-06 14:39:40,42,41
42,,1,250,69.44444444, ,,355.8737414,294.9455602,151.1706771,-33.94199839,100,2024-07-06 14:39:41,43,42
43,,1,250,69.44444444, ,,355.8737414,294.944762,151.1701114,-33.94178013,100,2024-07-06 14:39:42,44,43
44,,1,250,69.44444444, ,,355.8737414,294.944762,151.1695458,-33.94156187,100,2024-07-06 14:39:43,45,44
45,,1,250,69.44444444, ,,355.8737414,294.944762,151.1689802,-33.94134361,100,2024-07-06 14:39:44,46,45
46,,1,250,69.44444444, ,,355.8737414,294.9433767,151.1684145,-33.94112535,300,2024-07-06 14:39:45,47,46
47,,1,250,69.44444444, ,,355.8737414,294.9439053,151.1678489,-33.94090709,300,2024-07-06 14:39:46,48,47
48,,1,250,69.44444444, ,,355.8737414,294.9427248,151.1672832,-33.94068883,300,2024-07-06 14:39:47,49,48
49,,1,250,69.44444444, ,,355.8737414,294.9424683,151.1667176,-33.94047057,300,2024-07-06 14:39:48,50,49
50,,1,250,69.44444444, ,,355.8737414,294.9437641,151.166152,-33.9402523,300,2024-07-06 14:39:49,51,50
51,,1,250,69.44444444, ,,355.8737414,294.9437641,151.1655863,-33.94003404,300,2024-07-06 14:39:50,52,51
52,,1,250,69.44444444, ,,355.8737414,294.9437641,151.1650207,-33.93981578,300,2024-07-06 14:39:51,53,52
53,,1,250,69.44444444, ,,355.8737414,263.2881361,151.164455,-33.93959751,300,2024-07-06 14:39:52,54,53
54,,1,250,69.44444444, ,,355.8737414,260.6649383,151.1638894,-33.93937925,300,2024-07-06 14:39:53,55,54
55,,1,250,69.44444444, ,,355.8737414,260.6651912,151.1632769,-33.93944451,300,2024-07-06 14:39:54,56,55
56,,1,250,69.44444444, ,,355.8737414,260.6647343,151.1626614,-33.93952846,300,2024-07-06 14:39:55,57,56
57,,1,250,69.44444444, ,,355.8737414,260.664987,151.1620458,-33.93961241,300,2024-07-06 14:39:56,58,57
58,,1,250,69.44444444, ,,355.8737414,260.6652975,151.1614302,-33.93969636,300,2024-07-06 14:39:57,59,58
59,,1,250,69.44444444, ,,355.8737414,260.6648416,151.1608147,-33.93978031,300,2024-07-06 14:39:58,60,59
60,,1,250,69.44444444, ,,355.8737414,260.6650936,151.1601991,-33.93986426,300,2024-07-06 14:39:59,61,60
61,,1,250,69.44444444, ,,355.8737414,260.6650499,151.1595835,-33.9399482,300,2024-07-06 14:40:00,62,61
62,,1,250,69.44444444, ,,355.8737414,260.6652433,151.1589679,-33.94003215,300,2024-07-06 14:40:01,63,62
63,,1,250,69.44444444, ,,355.8737414,260.6647889,151.1583524,-33.9401161,300,2024-07-06 14:40:02,64,63
64,,1,250,69.44444444, ,,355.8737414,260.6649682,151.1577368,-33.94020005,300,2024-07-06 14:40:03,65,64
65,,1,250,69.44444444, ,,355.8737414,260.6649388,151.1571212,-33.940284,300,2024-07-06 14:40:04,66,65
66,,1,250,69.44444444, ,,355.8737414,260.6652474,151.1565057,-33.94036795,300,2024-07-06 14:40:05,67,66
67,,1,250,69.44444444, ,,355.8737414,260.6647366,151.1558901,-33.9404519,300,2024-07-06 14:40:06,68,67
68,,1,250,69.44444444, ,,355.8737414,260.6650448,151.1552745,-33.94053585,300,2024-07-06 14:40:07,69,68
69,,1,250,69.44444444, ,,355.8737414,260.6649798,151.154659,-33.94061979,300,2024-07-06 14:40:08,70,69
70,,1,250,69.44444444, ,,355.8737414,260.6652514,151.1540434,-33.94070374,300,2024-07-06 14:40:09,71,70
71,,1,250,69.44444444, ,,355.8737414,260.6647999,151.1534278,-33.94078769,300,2024-07-06 14:40:10,72,71
72,,1,250,69.44444444, ,,355.8737414,260.6649919,151.1528123,-33.94087164,300,2024-07-06 14:40:11,73,72
73,,1,250,69.44444444, ,,355.8737414,260.6648913,151.1521967,-33.94095559,300,2024-07-06 14:40:12,74,73
74,,1,250,69.44444444, ,,355.8737414,260.6651979,151.1515811,-33.94103954,300,2024-07-06 14:40:13,75,74
75,,1,250,69.44444444, ,,355.8737414,260.6647479,151.1509656,-33.94112348,300,2024-07-06 14:40:14,76,75
76,,1,250,69.44444444, ,,355.8737414,260.6649967,151.15035,-33.94120743,300,2024-07-06 14:40:15,77,76
77,,1,250,69.44444444, ,,355.8737414,260.6648391,151.1497344,-33.94129138,300,2024-07-06 14:40:16,78,77
78,,1,250,69.44444444, ,,355.8737414,260.6652021,151.1491189,-33.94137533,300,2024-07-06 14:40:17,79,78
79,,1,250,69.44444444, ,,355.8737414,260.6647534,151.1485033,-33.94145927,300,2024-07-06 14:40:18,80,79
80,,1,250,69.44444444, ,,355.8737414,260.6650015,151.1478877,-33.94154322,300,2024-07-06 14:40:19,81,80
81,,1,250,69.44444444, ,,355.8737414,260.6651921,151.1472721,-33.94162717,300,2024-07-06 14:40:20,82,81
82,,1,250,69.44444444, ,,355.8737414,260.6651491,151.1466566,-33.94171112,300,2024-07-06 14:40:21,83,82
83,,1,250,69.44444444, ,,355.8737414,260.6650491,151.146041,-33.94179506,300,2024-07-06 14:40:22,84,83
84,,1,250,69.44444444, ,,355.8737414,260.6649493,151.1454254,-33.94187901,300,2024-07-06 14:40:23,85,84
85,,1,250,69.44444444, ,,355.8737414,260.6651962,151.1448099,-33.94196296,300,2024-07-06 14:40:24,86,85
86,,1,250,69.44444444, ,,355.8737414,210.465029,151.1441943,-33.94204691,300,2024-07-06 14:40:25,87,86
87,,1,250,69.44444444, ,,355.8737414,210.465521,151.1437156,-33.94229647,300,2024-07-06 14:40:26,88,87
88,,1,250,69.44444444, ,,355.8737414,210.4656527,151.1433993,-33.94274255,300,2024-07-06 14:40:27,89,88
89,,1,250,69.44444444, ,,355.8737414,210.4656422,151.143083,-33.94318862,300,2024-07-06 14:40:28,90,89
90,,1,250,69.44444444, ,,355.8737414,210.465584,151.1427667,-33.94363469,300,2024-07-06 14:40:29,91,90
91,,1,250,69.44444444, ,,355.8737414,210.467054,151.1424504,-33.94408076,300,2024-07-06 14:40:30,92,91
92,,1,250,69.44444444, ,,355.8737414,210.4656356,151.1421341,-33.94452683,300,2024-07-06 14:40:31,93,92
93,,1,250,69.44444444, ,,355.8737414,210.465532,151.1418178,-33.94497289,300,2024-07-06 14:40:32,94,93
94,,1,250,69.44444444, ,,355.8737414,210.4653384,151.1415015,-33.94541895,300,2024-07-06 14:40:33,95,94
95,,1,250,69.44444444, ,,355.8737414,210.4655836,151.1411853,-33.94586501,300,2024-07-06 14:40:34,96,95
96,,1,250,69.44444444, ,,355.8737414,210.4656092,151.140869,-33.94631107,300,2024-07-06 14:40:35,97,96
97,,1,250,69.44444444, ,,355.8737414,210.4652883,151.1405527,-33.94675712,300,2024-07-06 14:40:36,98,97
98,,1,250,69.44444444, ,,355.8737414,210.4655321,151.1402364,-33.94720317,300,2024-07-06 14:40:37,99,98
99,,1,250,69.44444444, ,,355.8737414,210.4656855,151.1399201,-33.94764922,300,2024-07-06 14:40:38,100,99
100,,1,250,69.44444444, ,,355.8737414,210.4635686,151.1396038,-33.94809527,300,2024-07-06 14:40:39,101,100
101,,1,250,69.44444444, ,,355.8737414,210.4664627,151.1392875,-33.94854132,300,2024-07-06 14:40:40,102,101
102,,1,250,69.44444444, ,,355.8737414,210.4655068,151.1389712,-33.94898736,300,2024-07-06 14:40:41,103,102
103,,1,250,69.44444444, ,,355.8737414,210.4655322,151.1386549,-33.9494334,300,2024-07-06 14:40:42,104,103
104,,1,250,69.44444444, ,,355.8737414,210.4655576,151.1383386,-33.94987944,300,2024-07-06 14:40:43,105,104
105,,1,250,69.44444444, ,,355.8737414,210.4655828,151.1380223,-33.95032547,300,2024-07-06 14:40:44,106,105
106,,1,250,69.44444444, ,,355.8737414,210.4655828,151.137706,-33.95077151,300,2024-07-06 14:40:45,107,106
107,,1,250,69.44444444, ,,355.8737414,210.4655449,151.1373897,-33.95121754,300,2024-07-06 14:40:46,108,107
108,,1,250,69.44444444, ,,355.8737414,210.4655331,151.1370734,-33.95166356,300,2024-07-06 14:40:47,109,108
109,,1,250,69.44444444, ,,355.8737414,210.4654619,151.1367571,-33.95210959,300,2024-07-06 14:40:48,110,109
110,,1,250,69.44444444, ,,355.8737414,210.4655924,151.1364408,-33.95255561,300,2024-07-06 14:40:49,111,110
111,,1,250,69.44444444, ,,355.8737414,210.4654027,151.1361245,-33.95300164,300,2024-07-06 14:40:50,112,111
112,,1,250,69.44444444, ,,355.8737414,210.4655331,151.1358082,-33.95344766,300,2024-07-06 14:40:51,113,112
113,,1,250,69.44444444, ,,355.8737414,210.465462,151.135492,-33.95389367,300,2024-07-06 14:40:52,114,113
114,,1,250,69.44444444, ,,355.8737414,210.4654739,151.1351757,-33.95433969,300,2024-07-06 14:40:53,115,114
115,,1,250,69.44444444, ,,355.8737414,210.4657225,151.1348594,-33.9547857,300,2024-07-06 14:40:54,116,115
116,,1,250,69.44444444, ,,355.8737414,210.4654148,151.1345431,-33.95523171,300,2024-07-06 14:40:55,117,116
117,,1,250,69.44444444, ,,355.8737414,210.4656632,151.1342268,-33.95567772,300,2024-07-06 14:40:56,118,117
118,,1,250,69.44444444, ,,355.8737414,210.4656161,151.1339105,-33.95612372,300,2024-07-06 14:40:57,119,118
119,,1,250,69.44444444, ,,355.8737414,210.4654031,151.1335942,-33.95656972,300,2024-07-06 14:40:58,120,119
120,,1,250,69.44444444, ,,355.8737414,210.4657339,151.1332779,-33.95701573,300,2024-07-06 14:40:59,121,120
121,,1,250,69.44444444, ,,355.8737414,183.9116035,151.1329616,-33.95746172,300,2024-07-06 14:41:00,122,121
122,,1,250,69.44444444, ,,355.8737414,183.9113437,151.1328697,-33.95796529,300,2024-07-06 14:41:01,123,122
123,,1,250,69.44444444, ,,355.8737414,183.9118499,151.1328271,-33.95848152,300,2024-07-06 14:41:02,124,123
124,,1,250,69.44444444, ,,355.8737414,183.9114649,151.1327846,-33.95899774,300,2024-07-06 14:41:03,125,124
125,,1,250,69.44444444, ,,355.8737414,183.9115776,151.132742,-33.95951396,300,2024-07-06 14:41:04,126,125
126,,1,250,69.44444444, ,,355.8737414,183.9114623,151.1326995,-33.96003018,300,2024-07-06 14:41:05,127,126
127,,1,250,69.44444444, ,,355.8737414,183.9113935,151.1326569,-33.96054639,300,2024-07-06 14:41:06,128,127
128,,1,250,69.44444444, ,,355.8737414,183.9116609,151.1326143,-33.96106261,300,2024-07-06 14:41:07,129,128
129,,1,250,69.44444444, ,,355.8737414,183.9115689,151.1325718,-33.96157881,300,2024-07-06 14:41:08,130,129
130,,1,250,69.44444444, ,,355.8737414,183.9115002,151.1325292,-33.96209502,300,2024-07-06 14:41:09,131,130
131,,1,250,69.44444444, ,,355.8737414,183.9114088,151.1324867,-33.96261122,300,2024-07-06 14:41:10,132,131
132,,1,250,69.44444444, ,,355.8737414,183.9116746,151.1324441,-33.96312742,300,2024-07-06 14:41:11,133,132
133,,1,250,69.44444444, ,,355.8737414,183.9115832,151.1324016,-33.96364362,300,2024-07-06 14:41:12,134,133
134,,1,250,69.44444444, ,,355.8737414,183.9117076,151.132359,-33.96415981,300,2024-07-06 14:41:13,135,134
135,,1,250,69.44444444, ,,355.8737414,183.911555,151.1323165,-33.964676,300,2024-07-06 14:41:14,136,135
136,,1,250,69.44444444, ,,355.8737414,183.9113725,151.1322739,-33.96519219,300,2024-07-06 14:41:15,137,136
137,,1,250,69.44444444, ,,355.8737414,183.9116746,151.1322313,-33.96570837,300,2024-07-06 14:41:16,138,137
138,,1,250,69.44444444, ,,355.8737414,183.911527,151.1321888,-33.96622455,300,2024-07-06 14:41:17,139,138
139,,1,250,69.44444444, ,,355.8737414,183.9113503,151.1321462,-33.96674073,300,2024-07-06 14:41:18,140,139
140,,1,250,69.44444444, ,,355.8737414,183.9116117,151.1321037,-33.9672569,300,2024-07-06 14:41:19,141,140
141,,1,250,69.44444444, ,,355.8737414,183.9115008,151.1320611,-33.96777307,300,2024-07-06 14:41:20,142,141
142,,1,250,69.44444444, ,,355.8737414,183.9117554,151.1320186,-33.96828924,300,2024-07-06 14:41:21,143,142
143,,1,250,69.44444444, ,,355.8737414,183.9115525,151.131976,-33.96880541,300,2024-07-06 14:41:22,144,143
144,,1,250,69.44444444, ,,355.8737414,183.9114147,151.1319335,-33.96932157,300,2024-07-06 14:41:23,145,144
145,,1,250,69.44444444, ,,355.8737414,183.9116933,151.1318909,-33.96983773,300,2024-07-06 14:41:24,146,145
146,,1,250,69.44444444, ,,355.8737414,183.9114967,151.1318483,-33.97035388,300,2024-07-06 14:41:25,147,146
147,,1,250,69.44444444, ,,355.8737414,183.9116512,151.1318058,-33.97087003,300,2024-07-06 14:41:26,148,147
148,,1,250,69.44444444, ,,355.8737414,183.911664,151.1317632,-33.97138618,300,2024-07-06 14:41:27,149,148
149,,1,250,69.44444444, ,,355.8737414,183.9115024,151.1317207,-33.97190233,300,2024-07-06 14:41:28,150,149
150,,1,250,69.44444444, ,,355.8737414,183.9117963,151.1316781,-33.97241847,300,2024-07-06 14:41:29,151,150
151,,1,250,69.44444444, ,,355.8737414,183.9116077,151.1316356,-33.97293461,300,2024-07-06 14:41:30,152,151
152,,1,250,69.44444444, ,,355.8737414,183.9115416,151.131593,-33.97345075,300,2024-07-06 14:41:31,153,152
153,,1,250,69.44444444, ,,355.8737414,183.9117092,151.1315505,-33.97396688,300,2024-07-06 14:41:32,154,153
154,,1,250,69.44444444, ,,355.8737414,183.9115544,151.1315079,-33.97448301,300,2024-07-06 14:41:33,155,154
155,,1,250,69.44444444, ,,355.8737414,183.9118072,151.1314653,-33.97499914,300,2024-07-06 14:41:34,156,155
156,,1,250,69.44444444, ,,355.8737414,183.9116816,151.1314228,-33.97551526,300,2024-07-06 14:41:35,157,156
157,,1,250,69.44444444, ,,355.8737414,183.9116657,151.1313802,-33.97603138,300,2024-07-06 14:41:36,158,157
158,,1,250,69.44444444, ,,355.8737414,183.9117776,151.1313377,-33.9765475,300,2024-07-06 14:41:37,159,158
159,,1,250,69.44444444, ,,355.8737414,183.9116287,151.1312951,-33.97706362,300,2024-07-06 14:41:38,160,159
160,,1,250,69.44444444, ,,355.8737414,183.9115088,151.1312526,-33.97757973,300,2024-07-06 14:41:39,161,160
161,,1,250,69.44444444, ,,355.8737414,183.9116968,151.13121,-33.97809584,300,2024-07-06 14:41:40,162,161
162,,1,250,69.44444444, ,,355.8737414,183.9112921,151.1311674,-33.97861194,300,2024-07-06 14:41:41,163,162
163,,1,250,69.44444444, ,,355.8737414,183.9118145,151.1311249,-33.97912804,300,2024-07-06 14:41:42,164,163
164,,1,250,69.44444444, ,,355.8737414,183.9112959,151.1310823,-33.97964414,300,2024-07-06 14:41:43,165,164
165,,1,250,69.44444444, ,,355.8737414,183.911505,151.1310398,-33.98016024,300,2024-07-06 14:41:44,166,165
166,,1,250,69.44444444, ,,355.8737414,183.911826,151.1309972,-33.98067633,300,2024-07-06 14:41:45,167,166
167,,1,250,69.44444444, ,,355.8737414,183.9115934,151.1309547,-33.98119242,300,2024-07-06 14:41:46,168,167
168,,1,250,69.44444444, ,,355.8737414,183.9117235,151.1309121,-33.98170851,300,2024-07-06 14:41:47,169,168
169,,1,250,69.44444444, ,,355.8737414,183.9118493,151.1308696,-33.98222459,300,2024-07-06 14:41:48,170,169
170,,1,250,69.44444444, ,,355.8737414,183.9115806,151.130827,-33.98274067,300,2024-07-06 14:41:49,171,170
171,,1,250,69.44444444, ,,355.8737414,183.9115978,151.1307844,-33.98325675,300,2024-07-06 14:41:50,172,171
172,,1,250,69.44444444, ,,355.8737414,183.911691,151.1307419,-33.98377282,300,2024-07-06 14:41:51,173,172
173,,1,250,69.44444444, ,,355.8737414,177.2739089,151.1307232,-33.9842891,300,2024-07-06 14:41:52,174,173
174,,1,250,69.44444444, ,,355.8737414,177.2734863,151.1307529,-33.98480578,300,2024-07-06 14:41:53,175,174
175,,1,250,69.44444444, ,,355.8737414,177.2737902,151.1307826,-33.98532247,300,2024-07-06 14:41:54,176,175
176,,1,250,69.44444444, ,,355.8737414,177.2733381,151.1308123,-33.98583915,300,2024-07-06 14:41:55,177,176
177,,1,250,69.44444444, ,,355.8737414,177.2736722,151.1308419,-33.98635583,300,2024-07-06 14:41:56,178,177
178,,1,250,69.44444444, ,,355.8737414,177.2736051,151.1308716,-33.9868725,300,2024-07-06 14:41:57,179,178
179,,1,250,69.44444444, ,,355.8737414,177.273555,151.1309013,-33.98738917,300,2024-07-06 14:41:58,180,179
180,,1,250,69.44444444, ,,355.8737414,177.2738395,151.1309309,-33.98790584,300,2024-07-06 14:41:59,181,180
181,,1,250,69.44444444, ,,355.8737414,177.2738628,151.1309606,-33.98842251,300,2024-07-06 14:42:00,182,181
182,,1,250,69.44444444, ,,355.8737414,177.2737224,151.1309903,-33.98893917,300,2024-07-06 14:42:01,183,182
183,,1,250,69.44444444, ,,355.8737414,177.2736557,151.13102,-33.98945583,300,2024-07-06 14:42:02,184,183
184,,1,250,69.44444444, ,,355.8737414,177.2739548,151.1310496,-33.98997248,300,2024-07-06 14:42:03,185,184
185,,1,250,69.44444444, ,,355.8737414,177.2735398,151.1310793,-33.99048914,300,2024-07-06 14:42:04,186,185
186,,1,250,69.44444444, ,,355.8737414,177.2734903,151.131109,-33.99100578,300,2024-07-06 14:42:05,187,186
187,,1,250,69.44444444, ,,355.8737414,177.2737717,151.1311386,-33.99152243,300,2024-07-06 14:42:06,188,187
188,,1,250,69.44444444, ,,355.8737414,177.2736578,151.1311683,-33.99203907,300,2024-07-06 14:42:07,189,188
189,,1,250,69.44444444, ,,355.8737414,177.2736578,151.131198,-33.99255571,300,2024-07-06 14:42:08,190,189
190,,1,250,69.44444444, ,,355.8737414,177.2736578,151.1312277,-33.99307235,300,2024-07-06 14:42:09,191,190
191,,1,250,69.44444444, ,,355.8737414,111.705439,151.1312573,-33.99358898,300,2024-07-06 14:42:10,192,191
192,,1,250,69.44444444, ,,355.8737414,111.7053928,151.1317654,-33.99382262,300,2024-07-06 14:42:11,193,192
193,,1,250,69.44444444, ,,355.8737414,111.705439,151.132345,-33.9940139,300,2024-07-06 14:42:12,194,193
194,,1,250,69.44444444, ,,355.8737414,111.705439,151.1329246,-33.99420519,300,2024-07-06 14:42:13,195,194
195,,1,250,69.44444444, ,,355.8737414,111.705439,151.1335042,-33.99439647,300,2024-07-06 14:42:14,196,195
196,,1,250,69.44444444, ,,355.8737414,111.705439,151.1340838,-33.99458775,300,2024-07-06 14:42:15,197,196
197,,1,250,69.44444444, ,,355.8737414,111.7053928,151.1346634,-33.99477903,300,2024-07-06 14:42:16,198,197
198,,1,250,69.44444444, ,,355.8737414,111.705439,151.135243,-33.99497032,300,2024-07-06 14:42:17,199,198
199,,1,250,69.44444444, ,,355.8737414,111.705439,151.1358226,-33.9951616,300,2024-07-06 14:42:18,200,199
200,,1,250,69.44444444, ,,355.8737414,111.705439,151.1364022,-33.99535288,300,2024-07-06 14:42:19,201,200
201,,1,250,69.44444444, ,,355.8737414,111.705439,151.1369818,-33.99554416,300,2024-07-06 14:42:20,202,201
202,,1,250,69.44444444, ,,355.8737414,111.7053928,151.1375613,-33.99573544,300,2024-07-06 14:42:21,203,202
203,,1,250,69.44444444, ,,355.8737414,111.705439,151.1381409,-33.99592672,300,2024-07-06 14:42:22,204,203
204,,1,250,69.44444444, ,,355.8737414,111.705439,151.1387205,-33.996118,300,2024-07-06 14:42:23,205,204
205,,1,250,69.44444444, ,,355.8737414,111.705439,151.1393001,-33.99630928,300,2024-07-06 14:42:24,206,205
206,,1,250,69.44444444, ,,355.8737414,111.705439,151.1398797,-33.99650056,300,2024-07-06 14:42:25,207,206
207,,1,250,69.44444444, ,,355.8737414,111.7053339,151.1404593,-33.99669184,300,2024-07-06 14:42:26,208,207
208,,1,250,69.44444444, ,,355.8737414,111.7055104,151.1410389,-33.99688312,300,2024-07-06 14:42:27,209,208
209,,1,250,69.44444444, ,,355.8737414,111.7053535,151.1416185,-33.99707439,300,2024-07-06 14:42:28,210,209
210,,1,250,69.44444444, ,,355.8737414,111.7053535,151.1421981,-33.99726567,300,2024-07-06 14:42:29,211,210
211,,1,250,69.44444444, ,,355.8737414,111.7053535,151.1427777,-33.99745695,300,2024-07-06 14:42:30,212,211
212,,1,250,69.44444444, ,,355.8737414,111.705475,151.1433573,-33.99764822,300,2024-07-06 14:42:31,213,212
213,,1,250,69.44444444, ,,355.8737414,111.7054698,151.1439369,-33.9978395,300,2024-07-06 14:42:32,214,213
214,,1,250,69.44444444, ,,355.8737414,111.7055682,151.1445165,-33.99803077,300,2024-07-06 14:42:33,215,214
215,,1,250,69.44444444, ,,355.8737414,111.7055682,151.1450961,-33.99822205,300,2024-07-06 14:42:34,216,215
216,,1,250,69.44444444, ,,355.8737414,111.7055247,151.1456757,-33.99841332,300,2024-07-06 14:42:35,217,216
217,,1,250,69.44444444, ,,355.8737414,111.7053813,151.1462553,-33.9986046,300,2024-07-06 14:42:36,218,217
218,,1,250,69.44444444, ,,355.8737414,111.7054938,151.1468349,-33.99879587,300,2024-07-06 14:42:37,219,218
219,,1,250,69.44444444, ,,355.8737414,111.7054886,151.1474145,-33.99898714,300,2024-07-06 14:42:38,220,219
220,,1,250,69.44444444, ,,355.8737414,111.7054886,151.1479941,-33.99917842,300,2024-07-06 14:42:39,221,220
221,,1,250,69.44444444, ,,355.8737414,111.7053481,151.1485737,-33.99936969,300,2024-07-06 14:42:40,222,221
222,,1,250,69.44444444, ,,355.8737414,111.7053223,151.1491533,-33.99956096,300,2024-07-06 14:42:41,223,222
223,,1,250,69.44444444, ,,355.8737414,111.705318,151.1497329,-33.99975223,300,2024-07-06 14:42:42,224,223
224,,1,250,69.44444444, ,,355.8737414,111.7055115,151.1503125,-33.9999435,300,2024-07-06 14:42:43,225,224
225,,1,250,69.44444444, ,,355.8737414,111.7055064,151.1508921,-34.00013477,300,2024-07-06 14:42:44,226,225
226,,1,250,69.44444444, ,,355.8737414,111.7055064,151.1514717,-34.00032604,300,2024-07-06 14:42:45,227,226
227,,1,250,69.44444444, ,,355.8737414,111.7054463,151.1520513,-34.00051731,300,2024-07-06 14:42:46,228,227
228,,1,250,69.44444444, ,,355.8737414,111.7054415,151.1526309,-34.00070858,300,2024-07-06 14:42:47,229,228
229,,1,250,69.44444444, ,,355.8737414,111.7053401,151.1532105,-34.00089985,300,2024-07-06 14:42:48,230,229
230,,1,250,69.44444444, ,,355.8737414,111.7052865,151.1537901,-34.00109112,300,2024-07-06 14:42:49,231,230
