OBJECTID,DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,SymbologyCode,EstimatedPoints,BEARING,POINT_X,POINT_Y,POINT_Z,DateTimeSim,COUNTSim,ORIG_FID,x_Rounded,y_Rounded
26,,1,250,69.44444444, ,,355.8737414,347.7995246,151.1765864,-33.9475726,0,2024-07-06 14:39:25,27,26,151.17658,-33.94757
27,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1764545,-33.94706679,0,2024-07-06 14:39:26,28,27,151.17645,-33.94706
28,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1763227,-33.94656097,0,2024-07-06 14:39:27,29,28,151.17632,-33.94656
29,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1761909,-33.94605516,0,2024-07-06 14:39:28,30,29,151.17619,-33.94605
30,,1,250,69.44444444, ,,355.8737414,347.7994417,151.1760590,-33.94554934,0,2024-07-06 14:39:29,31,30,151.17605,-33.94554
31,,1,250,69.44444444, ,,355.8737414,347.7998478,151.1759272,-33.94504351,100,2024-07-06 14:39:30,32,31,151.17592,-33.94504
32,,1,250,69.44444444, ,,355.8737414,347.7998478,151.1757954,-33.94453769,100,2024-07-06 14:39:31,33,32,151.17579,-33.94453
33,,1,250,69.44444444, ,,355.8737414,347.7996497,151.1756635,-33.94403186,100,2024-07-06 14:39:32,34,33,151.17566,-33.94403
34,,1,250,69.44444444, ,,355.8737414,347.7996497,151.1752022,-33.94374445,100,2024-07-06 14:39:33,35,34,151.17520,-33.94374
35,,1,250,69.44444444, ,,355.8737414,294.9438774,151.1746366,-33.94352619,100,2024-07-06 14:39:34,36,35,151.17463,-33.94352
36,,1,250,69.44444444, ,,355.8737414,294.9439174,151.1740709,-33.94330794,100,2024-07-06 14:39:35,37,36,151.17407,-33.9433
37,,1,250,69.44444444, ,,355.8737414,294.9438774,151.1735053,-33.94308968,100,2024-07-06 14:39:36,38,37,151.17350,-33.94308
38,,1,250,69.44444444, ,,355.8737414,294.943907,151.1729396,-33.94287142,100,2024-07-06 14:39:37,39,38,151.17293,-33.94287
39,,1,250,69.44444444, ,,355.8737414,294.9446888,151.1723740,-33.94265317,100,2024-07-06 14:39:38,40,39,151.17237,-33.94265
40,,1,250,69.44444444, ,,355.8737414,294.9435908,151.1718084,-33.94243491,100,2024-07-06 14:39:39,41,40,151.17180,-33.94243
41,,1,250,69.44444444, ,,355.8737414,294.942854,151.1712427,-33.94221665,100,2024-07-06 14:39:40,42,41,151.17124,-33.94221
42,,1,250,69.44444444, ,,355.8737414,294.9455602,151.1706771,-33.94199839,100,2024-07-06 14:39:41,43,42,151.17067,-33.94199
43,,1,250,69.44444444, ,,355.8737414,294.944762,151.1701114,-33.94178013,100,2024-07-06 14:39:42,44,43,151.17011,-33.94178
44,,1,250,69.44444444, ,,355.8737414,294.944762,151.1695458,-33.94156187,100,2024-07-06 14:39:43,45,44,151.16954,-33.94156
45,,1,250,69.44444444, ,,355.8737414,294.944762,151.1689802,-33.94134361,100,2024-07-06 14:39:44,46,45,151.16898,-33.94134
46,,1,250,69.44444444, ,,355.8737414,294.9433767,151.1684145,-33.94112535,300,2024-07-06 14:39:45,47,46,151.16841,-33.94112
47,,1,250,69.44444444, ,,355.8737414,294.9439053,151.1678489,-33.94090709,300,2024-07-06 14:39:46,48,47,151.16784,-33.9409
48,,1,250,69.44444444, ,,355.8737414,294.9427248,151.1672832,-33.94068883,300,2024-07-06 14:39:47,49,48,151.16728,-33.94068
49,,1,250,69.44444444, ,,355.8737414,294.9424683,151.1667176,-33.94047057,300,2024-07-06 14:39:48,50,49,151.16671,-33.94047
50,,1,250,69.44444444, ,,355.8737414,294.9437641,151.1661520,-33.9402523,300,2024-07-06 14:39:49,51,50,151.16615,-33.94025
51,,1,250,69.44444444, ,,355.8737414,294.9437641,151.1655863,-33.94003404,300,2024-07-06 14:39:50,52,51,151.16558,-33.94003
52,,1,250,69.44444444, ,,355.8737414,294.9437641,151.1650207,-33.93981578,300,2024-07-06 14:39:51,53,52,151.16502,-33.93981
53,,1,250,69.44444444, ,,355.8737414,263.2881361,151.1644550,-33.93959751,300,2024-07-06 14:39:52,54,53,151.16445,-33.93959
54,,1,250,69.44444444, ,,355.8737414,260.6649383,151.1638894,-33.93937925,300,2024-07-06 14:39:53,55,54,151.16388,-33.93937
55,,1,250,69.44444444, ,,355.8737414,260.6651912,151.1632769,-33.93944451,300,2024-07-06 14:39:54,56,55,151.16327,-33.93944
56,,1,250,69.44444444, ,,355.8737414,260.6647343,151.1626614,-33.93952846,300,2024-07-06 14:39:55,57,56,151.16266,-33.93952
57,,1,250,69.44444444, ,,355.8737414,260.664987,151.1620458,-33.93961241,300,2024-07-06 14:39:56,58,57,151.16204,-33.93961
58,,1,250,69.44444444, ,,355.8737414,260.6652975,151.1614302,-33.93969636,300,2024-07-06 14:39:57,59,58,151.16143,-33.93969
59,,1,250,69.44444444, ,,355.8737414,260.6648416,151.1608147,-33.93978031,300,2024-07-06 14:39:58,60,59,151.16081,-33.93978
60,,1,250,69.44444444, ,,355.8737414,260.6650936,151.1601991,-33.93986426,300,2024-07-06 14:39:59,61,60,151.16019,-33.93986
61,,1,250,69.44444444, ,,355.8737414,260.6650499,151.1595835,-33.9399482,300,2024-07-06 14:40:00,62,61,151.15958,-33.93994
62,,1,250,69.44444444, ,,355.8737414,260.6652433,151.1589679,-33.94003215,300,2024-07-06 14:40:01,63,62,151.15896,-33.94003
63,,1,250,69.44444444, ,,355.8737414,260.6647889,151.1583524,-33.9401161,300,2024-07-06 14:40:02,64,63,151.15835,-33.94011
64,,1,250,69.44444444, ,,355.8737414,260.6649682,151.1577368,-33.94020005,300,2024-07-06 14:40:03,65,64,151.15773,-33.9402
65,,1,250,69.44444444, ,,355.8737414,260.6649388,151.1571212,-33.940284,300,2024-07-06 14:40:04,66,65,151.15712,-33.94028
66,,1,250,69.44444444, ,,355.8737414,260.6652474,151.1565057,-33.94036795,300,2024-07-06 14:40:05,67,66,151.15650,-33.94036
67,,1,250,69.44444444, ,,355.8737414,260.6647366,151.1558901,-33.9404519,300,2024-07-06 14:40:06,68,67,151.15589,-33.94045
68,,1,250,69.44444444, ,,355.8737414,260.6650448,151.1552745,-33.94053585,300,2024-07-06 14:40:07,69,68,151.15527,-33.94053
69,,1,250,69.44444444, ,,355.8737414,260.6649798,151.1546590,-33.94061979,300,2024-07-06 14:40:08,70,69,151.15465,-33.94061
70,,1,250,69.44444444, ,,355.8737414,260.6652514,151.1540434,-33.94070374,300,2024-07-06 14:40:09,71,70,151.15404,-33.9407
71,,1,250,69.44444444, ,,355.8737414,260.6647999,151.1534278,-33.94078769,300,2024-07-06 14:40:10,72,71,151.15342,-33.94078
72,,1,250,69.44444444, ,,355.8737414,260.6649919,151.1528123,-33.94087164,300,2024-07-06 14:40:11,73,72,151.15281,-33.94087
73,,1,250,69.44444444, ,,355.8737414,260.6648913,151.1521967,-33.94095559,300,2024-07-06 14:40:12,74,73,151.15219,-33.94095
74,,1,250,69.44444444, ,,355.8737414,260.6651979,151.1515811,-33.94103954,300,2024-07-06 14:40:13,75,74,151.15158,-33.94103
75,,1,250,69.44444444, ,,355.8737414,260.6647479,151.1509656,-33.94112348,300,2024-07-06 14:40:14,76,75,151.15096,-33.94112
76,,1,250,69.44444444, ,,355.8737414,260.6649967,151.1503500,-33.94120743,300,2024-07-06 14:40:15,77,76,151.15034,-33.9412
77,,1,250,69.44444444, ,,355.8737414,260.6648391,151.1497344,-33.94129138,300,2024-07-06 14:40:16,78,77,151.14973,-33.94129
78,,1,250,69.44444444, ,,355.8737414,260.6652021,151.1491189,-33.94137533,300,2024-07-06 14:40:17,79,78,151.14911,-33.94137
79,,1,250,69.44444444, ,,355.8737414,260.6647534,151.1485033,-33.94145927,300,2024-07-06 14:40:18,80,79,151.14850,-33.94145
80,,1,250,69.44444444, ,,355.8737414,260.6650015,151.1478877,-33.94154322,300,2024-07-06 14:40:19,81,80,151.14788,-33.94154
81,,1,250,69.44444444, ,,355.8737414,260.6651921,151.1472721,-33.94162717,300,2024-07-06 14:40:20,82,81,151.14727,-33.94162
82,,1,250,69.44444444, ,,355.8737414,260.6651491,151.1466566,-33.94171112,300,2024-07-06 14:40:21,83,82,151.14665,-33.94171
83,,1,250,69.44444444, ,,355.8737414,260.6650491,151.1460410,-33.94179506,300,2024-07-06 14:40:22,84,83,151.14604,-33.94179
84,,1,250,69.44444444, ,,355.8737414,260.6649493,151.1454254,-33.94187901,300,2024-07-06 14:40:23,85,84,151.14542,-33.94187
85,,1,250,69.44444444, ,,355.8737414,260.6651962,151.1448099,-33.94196296,300,2024-07-06 14:40:24,86,85,151.14480,-33.94196
86,,1,250,69.44444444, ,,355.8737414,210.465029,151.1441943,-33.94204691,300,2024-07-06 14:40:25,87,86,151.14419,-33.94204
87,,1,250,69.44444444, ,,355.8737414,210.465521,151.1437156,-33.94229647,300,2024-07-06 14:40:26,88,87,151.14371,-33.94229
88,,1,250,69.44444444, ,,355.8737414,210.4656527,151.1433993,-33.94274255,300,2024-07-06 14:40:27,89,88,151.14339,-33.94274
89,,1,250,69.44444444, ,,355.8737414,210.4656422,151.1430830,-33.94318862,300,2024-07-06 14:40:28,90,89,151.14308,-33.94318
90,,1,250,69.44444444, ,,355.8737414,210.465584,151.1427667,-33.94363469,300,2024-07-06 14:40:29,91,90,151.14276,-33.94363
91,,1,250,69.44444444, ,,355.8737414,210.467054,151.1424504,-33.94408076,300,2024-07-06 14:40:30,92,91,151.14245,-33.94408
92,,1,250,69.44444444, ,,355.8737414,210.4656356,151.1421341,-33.94452683,300,2024-07-06 14:40:31,93,92,151.14213,-33.94452
93,,1,250,69.44444444, ,,355.8737414,210.465532,151.1418178,-33.94497289,300,2024-07-06 14:40:32,94,93,151.14181,-33.94497
94,,1,250,69.44444444, ,,355.8737414,210.4653384,151.1415015,-33.94541895,300,2024-07-06 14:40:33,95,94,151.14150,-33.94541
95,,1,250,69.44444444, ,,355.8737414,210.4655836,151.1411853,-33.94586501,300,2024-07-06 14:40:34,96,95,151.14118,-33.94586
96,,1,250,69.44444444, ,,355.8737414,210.4656092,151.1408690,-33.94631107,300,2024-07-06 14:40:35,97,96,151.14086,-33.94631
97,,1,250,69.44444444, ,,355.8737414,210.4652883,151.1405527,-33.94675712,300,2024-07-06 14:40:36,98,97,151.14055,-33.94675
98,,1,250,69.44444444, ,,355.8737414,210.4655321,151.1402364,-33.94720317,300,2024-07-06 14:40:37,99,98,151.14023,-33.9472
99,,1,250,69.44444444, ,,355.8737414,210.4656855,151.1399201,-33.94764922,300,2024-07-06 14:40:38,100,99,151.13992,-33.94764
100,,1,250,69.44444444, ,,355.8737414,210.4635686,151.1396038,-33.94809527,300,2024-07-06 14:40:39,101,100,151.13960,-33.94809
101,,1,250,69.44444444, ,,355.8737414,210.4664627,151.1392875,-33.94854132,300,2024-07-06 14:40:40,102,101,151.13928,-33.94854
102,,1,250,69.44444444, ,,355.8737414,210.4655068,151.1389712,-33.94898736,300,2024-07-06 14:40:41,103,102,151.13897,-33.94898
103,,1,250,69.44444444, ,,355.8737414,210.4655322,151.1386549,-33.9494334,300,2024-07-06 14:40:42,104,103,151.13865,-33.94943
104,,1,250,69.44444444, ,,355.8737414,210.4655576,151.1383386,-33.94987944,300,2024-07-06 14:40:43,105,104,151.13833,-33.94987
105,,1,250,69.44444444, ,,355.8737414,210.4655828,151.1380223,-33.95032547,300,2024-07-06 14:40:44,106,105,151.13802,-33.95032
106,,1,250,69.44444444, ,,355.8737414,210.4655828,151.1377060,-33.95077151,300,2024-07-06 14:40:45,107,106,151.13770,-33.95077
107,,1,250,69.44444444, ,,355.8737414,210.4655449,151.1373897,-33.95121754,300,2024-07-06 14:40:46,108,107,151.13738,-33.95121
108,,1,250,69.44444444, ,,355.8737414,210.4655331,151.1370734,-33.95166356,300,2024-07-06 14:40:47,109,108,151.13707,-33.95166
109,,1,250,69.44444444, ,,355.8737414,210.4654619,151.1367571,-33.95210959,300,2024-07-06 14:40:48,110,109,151.13675,-33.9521
110,,1,250,69.44444444, ,,355.8737414,210.4655924,151.1364408,-33.95255561,300,2024-07-06 14:40:49,111,110,151.13644,-33.95255
111,,1,250,69.44444444, ,,355.8737414,210.4654027,151.1361245,-33.95300164,300,2024-07-06 14:40:50,112,111,151.13612,-33.953
112,,1,250,69.44444444, ,,355.8737414,210.4655331,151.1358082,-33.95344766,300,2024-07-06 14:40:51,113,112,151.13580,-33.95344
113,,1,250,69.44444444, ,,355.8737414,210.465462,151.1354920,-33.95389367,300,2024-07-06 14:40:52,114,113,151.13549,-33.95389
114,,1,250,69.44444444, ,,355.8737414,210.4654739,151.1351757,-33.95433969,300,2024-07-06 14:40:53,115,114,151.13517,-33.95433
115,,1,250,69.44444444, ,,355.8737414,210.4657225,151.1348594,-33.9547857,300,2024-07-06 14:40:54,116,115,151.13485,-33.95478
116,,1,250,69.44444444, ,,355.8737414,210.4654148,151.1345431,-33.95523171,300,2024-07-06 14:40:55,117,116,151.13454,-33.95523
117,,1,250,69.44444444, ,,355.8737414,210.4656632,151.1342268,-33.95567772,300,2024-07-06 14:40:56,118,117,151.13422,-33.95567
118,,1,250,69.44444444, ,,355.8737414,210.4656161,151.1339105,-33.95612372,300,2024-07-06 14:40:57,119,118,151.13391,-33.95612
119,,1,250,69.44444444, ,,355.8737414,210.4654031,151.1335942,-33.95656972,300,2024-07-06 14:40:58,120,119,151.13359,-33.95656
120,,1,250,69.44444444, ,,355.8737414,210.4657339,151.1332779,-33.95701573,300,2024-07-06 14:40:59,121,120,151.13327,-33.95701
121,,1,250,69.44444444, ,,355.8737414,183.9116035,151.1329616,-33.95746172,300,2024-07-06 14:41:00,122,121,151.13296,-33.95746
122,,1,250,69.44444444, ,,355.8737414,183.9113437,151.1328697,-33.95796529,300,2024-07-06 14:41:01,123,122,151.13286,-33.95796
123,,1,250,69.44444444, ,,355.8737414,183.9118499,151.1328271,-33.95848152,300,2024-07-06 14:41:02,124,123,151.13282,-33.95848
124,,1,250,69.44444444, ,,355.8737414,183.9114649,151.1327846,-33.95899774,300,2024-07-06 14:41:03,125,124,151.13278,-33.95899
125,,1,250,69.44444444, ,,355.8737414,183.9115776,151.1327420,-33.95951396,300,2024-07-06 14:41:04,126,125,151.13274,-33.95951
126,,1,250,69.44444444, ,,355.8737414,183.9114623,151.1326995,-33.96003018,300,2024-07-06 14:41:05,127,126,151.13269,-33.96003
127,,1,250,69.44444444, ,,355.8737414,183.9113935,151.1326569,-33.96054639,300,2024-07-06 14:41:06,128,127,151.13265,-33.96054
128,,1,250,69.44444444, ,,355.8737414,183.9116609,151.1326143,-33.96106261,300,2024-07-06 14:41:07,129,128,151.13261,-33.96106
129,,1,250,69.44444444, ,,355.8737414,183.9115689,151.1325718,-33.96157881,300,2024-07-06 14:41:08,130,129,151.13257,-33.96157
130,,1,250,69.44444444, ,,355.8737414,183.9115002,151.1325292,-33.96209502,300,2024-07-06 14:41:09,131,130,151.13252,-33.96209
131,,1,250,69.44444444, ,,355.8737414,183.9114088,151.1324867,-33.96261122,300,2024-07-06 14:41:10,132,131,151.13248,-33.96261
132,,1,250,69.44444444, ,,355.8737414,183.9116746,151.1324441,-33.96312742,300,2024-07-06 14:41:11,133,132,151.13244,-33.96312
133,,1,250,69.44444444, ,,355.8737414,183.9115832,151.1324016,-33.96364362,300,2024-07-06 14:41:12,134,133,151.13240,-33.96364
134,,1,250,69.44444444, ,,355.8737414,183.9117076,151.1323590,-33.96415981,300,2024-07-06 14:41:13,135,134,151.13235,-33.96415
135,,1,250,69.44444444, ,,355.8737414,183.911555,151.1323165,-33.964676,300,2024-07-06 14:41:14,136,135,151.13231,-33.96467
136,,1,250,69.44444444, ,,355.8737414,183.9113725,151.1322739,-33.96519219,300,2024-07-06 14:41:15,137,136,151.13227,-33.96519
137,,1,250,69.44444444, ,,355.8737414,183.9116746,151.1322313,-33.96570837,300,2024-07-06 14:41:16,138,137,151.13223,-33.9657
138,,1,250,69.44444444, ,,355.8737414,183.911527,151.1321888,-33.96622455,300,2024-07-06 14:41:17,139,138,151.13218,-33.96622
139,,1,250,69.44444444, ,,355.8737414,183.9113503,151.1321462,-33.96674073,300,2024-07-06 14:41:18,140,139,151.13214,-33.96674
140,,1,250,69.44444444, ,,355.8737414,183.9116117,151.1321037,-33.9672569,300,2024-07-06 14:41:19,141,140,151.13210,-33.96725
141,,1,250,69.44444444, ,,355.8737414,183.9115008,151.1320611,-33.96777307,300,2024-07-06 14:41:20,142,141,151.13206,-33.96777
142,,1,250,69.44444444, ,,355.8737414,183.9117554,151.1320186,-33.96828924,300,2024-07-06 14:41:21,143,142,151.13201,-33.96828
143,,1,250,69.44444444, ,,355.8737414,183.9115525,151.1319760,-33.96880541,300,2024-07-06 14:41:22,144,143,151.13197,-33.9688
144,,1,250,69.44444444, ,,355.8737414,183.9114147,151.1319335,-33.96932157,300,2024-07-06 14:41:23,145,144,151.13193,-33.96932
145,,1,250,69.44444444, ,,355.8737414,183.9116933,151.1318909,-33.96983773,300,2024-07-06 14:41:24,146,145,151.13189,-33.96983
146,,1,250,69.44444444, ,,355.8737414,183.9114967,151.1318483,-33.97035388,300,2024-07-06 14:41:25,147,146,151.13184,-33.97035
147,,1,250,69.44444444, ,,355.8737414,183.9116512,151.1318058,-33.97087003,300,2024-07-06 14:41:26,148,147,151.13180,-33.97087
148,,1,250,69.44444444, ,,355.8737414,183.911664,151.1317632,-33.97138618,300,2024-07-06 14:41:27,149,148,151.13176,-33.97138
149,,1,250,69.44444444, ,,355.8737414,183.9115024,151.1317207,-33.97190233,300,2024-07-06 14:41:28,150,149,151.13172,-33.9719
150,,1,250,69.44444444, ,,355.8737414,183.9117963,151.1316781,-33.97241847,300,2024-07-06 14:41:29,151,150,151.13167,-33.97241
151,,1,250,69.44444444, ,,355.8737414,183.9116077,151.1316356,-33.97293461,300,2024-07-06 14:41:30,152,151,151.13163,-33.97293
152,,1,250,69.44444444, ,,355.8737414,183.9115416,151.1315930,-33.97345075,300,2024-07-06 14:41:31,153,152,151.13159,-33.97345
153,,1,250,69.44444444, ,,355.8737414,183.9117092,151.1315505,-33.97396688,300,2024-07-06 14:41:32,154,153,151.13155,-33.97396
154,,1,250,69.44444444, ,,355.8737414,183.9115544,151.1315079,-33.97448301,300,2024-07-06 14:41:33,155,154,151.13150,-33.97448
155,,1,250,69.44444444, ,,355.8737414,183.9118072,151.1314653,-33.97499914,300,2024-07-06 14:41:34,156,155,151.13146,-33.97499
156,,1,250,69.44444444, ,,355.8737414,183.9116816,151.1314228,-33.97551526,300,2024-07-06 14:41:35,157,156,151.13142,-33.97551
157,,1,250,69.44444444, ,,355.8737414,183.9116657,151.1313802,-33.97603138,300,2024-07-06 14:41:36,158,157,151.13138,-33.97603
158,,1,250,69.44444444, ,,355.8737414,183.9117776,151.1313377,-33.9765475,300,2024-07-06 14:41:37,159,158,151.13133,-33.97654
159,,1,250,69.44444444, ,,355.8737414,183.9116287,151.1312951,-33.97706362,300,2024-07-06 14:41:38,160,159,151.13129,-33.97706
160,,1,250,69.44444444, ,,355.8737414,183.9115088,151.1312526,-33.97757973,300,2024-07-06 14:41:39,161,160,151.13125,-33.97757
161,,1,250,69.44444444, ,,355.8737414,183.9116968,151.1312100,-33.97809584,300,2024-07-06 14:41:40,162,161,151.13121,-33.97809
162,,1,250,69.44444444, ,,355.8737414,183.9112921,151.1311674,-33.97861194,300,2024-07-06 14:41:41,163,162,151.13116,-33.97861
163,,1,250,69.44444444, ,,355.8737414,183.9118145,151.1311249,-33.97912804,300,2024-07-06 14:41:42,164,163,151.13112,-33.97912
164,,1,250,69.44444444, ,,355.8737414,183.9112959,151.1310823,-33.97964414,300,2024-07-06 14:41:43,165,164,151.13108,-33.97964
165,,1,250,69.44444444, ,,355.8737414,183.911505,151.1310398,-33.98016024,300,2024-07-06 14:41:44,166,165,151.13103,-33.98016
166,,1,250,69.44444444, ,,355.8737414,183.911826,151.1309972,-33.98067633,300,2024-07-06 14:41:45,167,166,151.13099,-33.98067
167,,1,250,69.44444444, ,,355.8737414,183.9115934,151.1309547,-33.98119242,300,2024-07-06 14:41:46,168,167,151.13095,-33.98119
168,,1,250,69.44444444, ,,355.8737414,183.9117235,151.1309121,-33.98170851,300,2024-07-06 14:41:47,169,168,151.13091,-33.9817
169,,1,250,69.44444444, ,,355.8737414,183.9118493,151.1308696,-33.98222459,300,2024-07-06 14:41:48,170,169,151.13086,-33.98222
170,,1,250,69.44444444, ,,355.8737414,183.9115806,151.1308270,-33.98274067,300,2024-07-06 14:41:49,171,170,151.13082,-33.98274
171,,1,250,69.44444444, ,,355.8737414,183.9115978,151.1307844,-33.98325675,300,2024-07-06 14:41:50,172,171,151.13078,-33.98325
172,,1,250,69.44444444, ,,355.8737414,183.911691,151.1307419,-33.98377282,300,2024-07-06 14:41:51,173,172,151.13074,-33.98377
173,,1,250,69.44444444, ,,355.8737414,177.2739089,151.1307232,-33.9842891,300,2024-07-06 14:41:52,174,173,151.13072,-33.98428
174,,1,250,69.44444444, ,,355.8737414,177.2734863,151.1307529,-33.98480578,300,2024-07-06 14:41:53,175,174,151.13075,-33.9848
175,,1,250,69.44444444, ,,355.8737414,177.2737902,151.1307826,-33.98532247,300,2024-07-06 14:41:54,176,175,151.13078,-33.98532
176,,1,250,69.44444444, ,,355.8737414,177.2733381,151.1308123,-33.98583915,300,2024-07-06 14:41:55,177,176,151.13081,-33.98583
177,,1,250,69.44444444, ,,355.8737414,177.2736722,151.1308419,-33.98635583,300,2024-07-06 14:41:56,178,177,151.13084,-33.98635
178,,1,250,69.44444444, ,,355.8737414,177.2736051,151.1308716,-33.9868725,300,2024-07-06 14:41:57,179,178,151.13087,-33.98687
179,,1,250,69.44444444, ,,355.8737414,177.273555,151.1309013,-33.98738917,300,2024-07-06 14:41:58,180,179,151.13090,-33.98738
180,,1,250,69.44444444, ,,355.8737414,177.2738395,151.1309309,-33.98790584,300,2024-07-06 14:41:59,181,180,151.13093,-33.9879
181,,1,250,69.44444444, ,,355.8737414,177.2738628,151.1309606,-33.98842251,300,2024-07-06 14:42:00,182,181,151.13096,-33.98842
182,,1,250,69.44444444, ,,355.8737414,177.2737224,151.1309903,-33.98893917,300,2024-07-06 14:42:01,183,182,151.13099,-33.98893
183,,1,250,69.44444444, ,,355.8737414,177.2736557,151.1310200,-33.98945583,300,2024-07-06 14:42:02,184,183,151.13101,-33.98945
184,,1,250,69.44444444, ,,355.8737414,177.2739548,151.1310496,-33.98997248,300,2024-07-06 14:42:03,185,184,151.13104,-33.98997
185,,1,250,69.44444444, ,,355.8737414,177.2735398,151.1310793,-33.99048914,300,2024-07-06 14:42:04,186,185,151.13107,-33.99048
186,,1,250,69.44444444, ,,355.8737414,177.2734903,151.1311090,-33.99100578,300,2024-07-06 14:42:05,187,186,151.13110,-33.991
187,,1,250,69.44444444, ,,355.8737414,177.2737717,151.1311386,-33.99152243,300,2024-07-06 14:42:06,188,187,151.13113,-33.99152
188,,1,250,69.44444444, ,,355.8737414,177.2736578,151.1311683,-33.99203907,300,2024-07-06 14:42:07,189,188,151.13116,-33.99203
189,,1,250,69.44444444, ,,355.8737414,177.2736578,151.1311980,-33.99255571,300,2024-07-06 14:42:08,190,189,151.13119,-33.99255
190,,1,250,69.44444444, ,,355.8737414,177.2736578,151.1312277,-33.99307235,300,2024-07-06 14:42:09,191,190,151.13122,-33.99307
191,,1,250,69.44444444, ,,355.8737414,111.705439,151.1312573,-33.99358898,300,2024-07-06 14:42:10,192,191,151.13125,-33.99358
192,,1,250,69.44444444, ,,355.8737414,111.7053928,151.1317654,-33.99382262,300,2024-07-06 14:42:11,193,192,151.13176,-33.99382
193,,1,250,69.44444444, ,,355.8737414,111.705439,151.1323450,-33.9940139,300,2024-07-06 14:42:12,194,193,151.13234,-33.99401
194,,1,250,69.44444444, ,,355.8737414,111.705439,151.1329246,-33.99420519,300,2024-07-06 14:42:13,195,194,151.13292,-33.9942
